id;type_categorie;created_at;update_at
1;complexity;2023-09-11T22:00:41;2023-09-11T11:54:41
2;Bike Tugrik Northwest;2023-09-11T11:00:42;2023-09-12T01:49:49
3;Country whose;2023-09-11T12:20:50;2023-09-12T04:35:33
4;male Concrete;2023-09-12T03:22:28;2023-09-11T16:13:52
5;Hatchback;2023-09-11T13:16:39;2023-09-11T17:48:34
6;Architect;2023-09-11T17:07:33;2023-09-11T09:37:09
7;forked;2023-09-11T19:36:09;2023-09-11T10:40:18
8;Indium green West;2023-09-11T18:52:45;2023-09-12T04:34:17
9;finally North Markets;2023-09-11T17:20:54;2023-09-12T05:55:44
10;reinvent South praesentium;2023-09-11T09:03:22;2023-09-11T10:22:31
