id;montant;validated;created_at;update_at;releve_facture_id;acheteur_id
1;20337;2716;2023-09-12T06:03:27;2023-09-12T02:33:18;1;1
2;28184;6187;2023-09-11T22:59:10;2023-09-11T16:14:03;2;2
3;25230;19440;2023-09-11T22:59:55;2023-09-11T10:56:14;3;1
4;23481;19652;2023-09-11T10:19:26;2023-09-11T23:26:06;4;2
5;18167;29408;2023-09-12T01:42:34;2023-09-12T06:43:29;5;2
6;15306;5916;2023-09-11T16:59:14;2023-09-12T00:24:49;6;2
7;15070;1011;2023-09-11T20:33:35;2023-09-11T11:46:02;7;2
8;31860;2343;2023-09-11T09:11:32;2023-09-11T17:21:19;8;1
9;7078;5508;2023-09-12T07:14:10;2023-09-11T16:20:35;9;2
10;19271;17438;2023-09-11T08:11:36;2023-09-11T14:35:00;10;1
