id;nom_produit;jhi_desc;tarif_unit;date;duree;lien_img;quantite_totale;quantite_dispo;created_at;update_at;souscategorie_id
1;superficial;North Bedfordshire;26793;2023-09-11T08:42:50;Plastic Designer provident;quibusdam;6642;10773;2023-09-12T00:02:36;2023-09-11T12:40:53;1
2;versus orchid;watt male;26192;2023-09-12T03:06:01;Honda connect;capacitor;19972;2345;2023-09-11T21:13:55;2023-09-11T23:47:33;2
3;once Marketing;moderator yahoo Iranian;3990;2023-09-11T15:39:00;Gasoline delectus transmitter;Cotton;30361;11947;2023-09-12T00:52:11;2023-09-11T07:42:28;3
4;online assurance Loan;crushing;4303;2023-09-12T07:00:32;North Functionality thinking;Promethium;4773;28015;2023-09-11T12:49:59;2023-09-11T23:44:11;4
5;Saint protocol;riffle;18325;2023-09-12T03:28:58;frictionless West;katal regarding;8029;3527;2023-09-11T08:23:22;2023-09-12T07:29:40;5
6;Branding male Northeast;withdrawal;290;2023-09-12T04:22:54;Bicycle indigo azure;hacking oof peace;17616;24848;2023-09-11T07:38:35;2023-09-11T10:46:23;6
7;encompassing Northwest turquoise;Northwest;16517;2023-09-12T01:51:53;copying;technologies;10224;25155;2023-09-11T19:30:44;2023-09-12T01:42:58;7
8;Corporate Gasoline monitor;reboot;9016;2023-09-11T09:35:11;Nissan Account;City black Functionality;32312;32735;2023-09-11T19:31:36;2023-09-11T14:32:48;8
9;Modern mole Blues;Won Indiana;21282;2023-09-12T06:16:49;Georgia;transform;11229;12198;2023-09-11T19:22:50;2023-09-11T17:06:40;9
10;Architect;Borders Product;2774;2023-09-11T18:34:55;Gasoline Berkshire yowza;Sedan Southwest;31006;442;2023-09-11T11:17:45;2023-09-11T23:30:41;10
