id;montant;created_at;update_at;acheteur_id
1;7434;2023-09-11T10:39:52;2023-09-11T12:13:53;1
2;3334;2023-09-11T19:15:10;2023-09-11T09:31:44;2
3;13923;2023-09-11T08:13:59;2023-09-11T10:23:44;2
4;22282;2023-09-11T14:13:15;2023-09-11T20:38:03;2
5;12113;2023-09-11T12:38:43;2023-09-11T18:44:21;2
6;19868;2023-09-11T09:49:35;2023-09-12T03:16:26;2
7;9020;2023-09-12T04:51:12;2023-09-12T07:00:30;2
8;31307;2023-09-11T10:08:45;2023-09-11T07:54:55;2
9;11071;2023-09-11T20:04:36;2023-09-11T08:51:07;2
10;31896;2023-09-11T13:58:47;2023-09-12T00:18:15;1
