id;type_sous_categorie;created_at;update_at;categorie_id
1;aggregate Gorgeous matrix;2023-09-14T12:32:49;2023-09-14T16:03:35;1
2;technologies Electronics;2023-09-14T05:22:59;2023-09-14T12:54:51;2
3;enable Pizza National;2023-09-14T06:35:39;2023-09-14T21:26:34;3
4;Multi-lateral synthesizing;2023-09-14T18:00:08;2023-09-14T19:00:51;4
5;XSS;2023-09-14T09:24:01;2023-09-14T07:43:43;5
6;didactic;2023-09-13T22:52:45;2023-09-13T23:54:29;6
7;Samoa Turnpike Montana;2023-09-14T20:35:47;2023-09-14T05:57:27;7
8;models Research;2023-09-14T02:12:31;2023-09-14T16:41:06;8
9;Designer;2023-09-14T03:10:47;2023-09-14T09:10:20;9
10;bypass;2023-09-14T09:43:13;2023-09-13T23:36:51;10
